2.000000000000000000e+00,1.000000000000000000e+00,8.685135363310328982e-01
3.000000000000000000e+00,1.000000000000000000e+00,5.137445201846821963e-01
4.000000000000000000e+00,3.000000000000000000e+00,5.645892327739878702e-01
5.000000000000000000e+00,2.000000000000000000e+00,3.979111466744051501e-02
6.000000000000000000e+00,1.000000000000000000e+00,2.623549737110463242e-01
7.000000000000000000e+00,4.000000000000000000e+00,4.666502068474150389e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.086864459092104274e-01
9.000000000000000000e+00,3.000000000000000000e+00,2.274381453692750632e-01
1.000000000000000000e+01,9.000000000000000000e+00,2.004185174280921911e-01
1.100000000000000000e+01,1.000000000000000000e+01,2.678083064355135656e-01
1.200000000000000000e+01,9.000000000000000000e+00,1.127113219170557540e-01
1.300000000000000000e+01,6.000000000000000000e+00,1.442576795042186388e-01
1.400000000000000000e+01,1.300000000000000000e+01,9.949158687372827714e-02
1.500000000000000000e+01,9.000000000000000000e+00,1.851602124244451364e-01
1.600000000000000000e+01,8.000000000000000000e+00,3.108206370535163132e-01
1.700000000000000000e+01,1.600000000000000000e+01,9.677275872168328297e-02
1.800000000000000000e+01,7.000000000000000000e+00,1.281208866609531705e-01
